time,open,high,low,close,MA,MA,MA,MA,MA,MA,Volume,Volume MA,Histogram,MACD,Signal
2020-04-08T05:00:00Z,1210.480206,1214.293912,1199.583903,1202.357507,1194.893693,1204.615328,NaN,NaN,NaN,NaN,287037,500079.95,1.111599415,9.425555192,8.313955777
2020-04-08T05:05:00Z,1201.565049,1206.963672,1197.008413,1201.317406,1195.477667,1203.790847,NaN,NaN,NaN,NaN,274036,481442.85,0.319499847,8.713330585,8.393830739
2020-04-08T05:10:00Z,1200.673533,1203.546195,1197.8504,1198.296158,1195.733894,1202.417175,NaN,NaN,NaN,NaN,243629,462974.85,-0.49389865,7.776457426,8.270356076
2020-04-08T05:15:00Z,1197.998986,1201.565049,1184.972951,1184.972951,1194.755626,1198.056119,NaN,NaN,NaN,NaN,371821,443070.5,-2.037144414,5.723925559,7.761069973
2020-04-08T05:20:00Z,1185.76541,1193.09565,1176.354966,1186.508339,1194.005873,1195.169174,NaN,NaN,NaN,NaN,557418,451296.05,-2.839510653,4.211681656,7.051192309
2020-04-08T05:25:00Z,1186.508339,1202.010807,1181.010659,1198.345687,1194.400401,1195.963302,NaN,NaN,NaN,NaN,487552,417124.15,-2.369848725,4.088881404,6.458730128
2020-04-08T05:30:00Z,1198.741916,1198.741916,1189.678173,1191.064975,1194.097181,1194.738721,NaN,NaN,NaN,NaN,215292,408048,-2.551377585,3.269508147,5.820885732
2020-04-08T05:35:00Z,1191.659319,1192.649892,1185.715881,1189.876288,1193.713463,1193.523112,NaN,NaN,NaN,NaN,215978,396232.55,-2.667230401,2.48684773,5.154078132
2020-04-08T05:40:00Z,1190.421103,1193.640465,1187.746556,1189.678173,1193.346619,1192.561877,NaN,NaN,NaN,NaN,151890,375097.7,-2.656144649,1.83389732,4.490041969
2020-04-08T05:45:00Z,1189.529587,1192.649892,1184.081436,1192.154606,1193.238254,1192.460059,NaN,NaN,NaN,NaN,192922,357571.75,-2.36264465,1.536736157,3.899380807
2020-04-08T05:50:00Z,1192.154606,1198.59333,1192.154606,1197.206528,1193.599006,1193.646677,NaN,NaN,NaN,NaN,310413,343416.05,-1.714509711,1.756243668,3.470753379
2020-04-08T05:55:00Z,1196.859827,1197.602757,1192.00602,1196.661713,1193.877434,1194.400436,NaN,NaN,NaN,NaN,120427,304390.35,-1.2938116,1.85348888,3.147300479
2020-04-08T06:00:00Z,1196.661713,1196.76077,1189.381001,1191.064975,1193.621756,1193.56657,NaN,NaN,NaN,NaN,186080,283842.1,-1.407900579,1.387424756,2.795325334
2020-04-08T06:05:00Z,1191.064975,1191.510733,1184.428136,1188.439957,1193.150683,1192.284917,NaN,NaN,NaN,NaN,270992,278982.4,-1.622163138,0.767621412,2.38978455
2020-04-08T06:10:00Z,1187.59797,1187.796084,1181.555474,1181.555474,1192.096573,1189.602556,NaN,NaN,NaN,NaN,257396,273906.9,-2.197868269,-0.357550786,1.840317483
2020-04-08T06:15:00Z,1180.911602,1181.35736,1169.024726,1169.371427,1190.030651,1184.544774,NaN,NaN,NaN,NaN,522239,289932.95,-3.351836055,-2.349477587,1.002358469
2020-04-08T06:20:00Z,1169.173312,1183.437563,1165.458663,1177.791297,1188.917982,1182.856405,NaN,NaN,NaN,NaN,560023,310819.9,-3.264154461,-3.077834608,0.186319854
2020-04-08T06:25:00Z,1177.196953,1181.456417,1174.02712,1177.296011,1187.861439,1181.466306,NaN,NaN,NaN,NaN,340920,313344.6,-3.067216191,-3.647700385,-0.580484194
2020-04-08T06:30:00Z,1177.296011,1191.213561,1176.20638,1185.963524,1187.688902,1182.590611,NaN,NaN,NaN,NaN,394694,313819.35,-2.127477225,-3.239830725,-1.1123535
2020-04-08T06:35:00Z,1185.913996,1187.399855,1179.425742,1180.317258,1187.018752,1182.022273,NaN,NaN,NaN,NaN,252564,310666.15,-1.83645399,-3.407920988,-1.571466998
2020-04-08T06:40:00Z,1180.366787,1183.734735,1178.03894,1182.397461,1186.598635,1182.11607,NaN,NaN,NaN,NaN,168222,304725.4,-1.385175001,-3.302935749,-1.917760748
2020-04-08T06:45:00Z,1182.694633,1183.635678,1180.218201,1182.10029,1186.189694,1182.112125,NaN,NaN,NaN,NaN,117884,296917.8,-1.032725444,-3.208667553,-2.175942109
2020-04-08T06:50:00Z,1182.001232,1182.001232,1175.810151,1177.593182,1185.408193,1180.982389,NaN,NaN,NaN,NaN,197334,294603.05,-1.070159356,-3.513641304,-2.443481948
2020-04-08T06:55:00Z,1177.395068,1181.505946,1173.829005,1181.505946,1185.053444,1181.113278,NaN,NaN,NaN,NaN,202573,286140.65,-0.719845934,-3.343289365,-2.623443432
